task,method,seed,n_evals,folds,wall,own_best,ref_cv,regret,test,hit_optimum
svc_digits,random,8,40,200,4.839455304000012,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,random,9,40,200,4.464533101000029,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,optuna_tpe,0,40,200,4.688701417999994,0.9813333333333333,0.9773333333333334,0.00533333333333319,0.984,False
svc_digits,optuna_tpe,1,40,200,5.355174204999969,0.9746666666666666,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,optuna_tpe,2,40,200,5.895812842999987,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,optuna_tpe,3,40,200,5.700560325000026,0.9826666666666666,0.9826666666666666,0.0,0.988,True
svc_digits,optuna_tpe,4,40,200,6.50002800499999,0.984,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,optuna_tpe,5,40,200,5.878260126999976,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,optuna_tpe,6,40,200,6.385625592999986,0.9800000000000001,0.9826666666666666,0.0,0.988,True
svc_digits,optuna_tpe,7,40,200,5.956214787000022,0.9799999999999999,0.9813333333333333,0.0013333333333332975,0.996,False
svc_digits,optuna_tpe,8,40,200,4.6548451150000005,0.9826666666666666,0.9773333333333334,0.00533333333333319,0.988,False
svc_digits,optuna_tpe,9,40,200,4.233896427000047,0.9813333333333333,0.9826666666666666,0.0,0.988,True
svc_digits,grid_search,-1,121,605,13.206382841999755,0.9826666666666666,0.9826666666666666,0.0,0.988,True
tree_cancer,ags_default,0,18,90,0.4704631469999754,0.9554309165526677,0.9413406292749658,0.011709986320109556,0.9230769230769231,False
tree_cancer,ags_default,1,13,65,0.36367097900000545,0.9482900136798905,0.9436935704514363,0.009357045143638998,0.9440559440559441,False
tree_cancer,ags_default,2,13,65,0.31356120399999554,0.9600820793433653,0.9530506155950753,0.0,0.8951048951048951,True
tree_cancer,ags_default,3,13,65,0.35228482200000144,0.9343091655266758,0.948344733242134,0.004705882352941337,0.9300699300699301,False
tree_cancer,ags_default,4,18,90,0.4459204440000235,0.9530779753761971,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,ags_default,5,13,65,0.3153921130000299,0.9365800273597811,0.9459917920656634,0.007058823529411895,0.916083916083916,False
tree_cancer,ags_default,6,13,63,0.3604035679999811,0.9389329685362517,0.9296580027359781,0.023392612859097217,0.916083916083916,False
tree_cancer,ags_default,7,14,69,0.34364945100003297,0.9389876880984952,0.9389876880984952,0.014062927496580113,0.9440559440559441,False
tree_cancer,ags_default,8,13,65,0.29680575000003273,0.9460191518467853,0.9506976744186046,0.0023529411764706687,0.9440559440559441,False
tree_cancer,ags_default,9,13,63,0.28458410299998604,0.9318467852257182,0.9342818057455542,0.018768809849521118,0.8881118881118881,False
tree_cancer,ags_no_early_stop,0,60,292,1.396339724000029,0.9577564979480165,0.941313269493844,0.011737346101231338,0.9440559440559441,False
tree_cancer,ags_no_early_stop,1,60,274,1.3084977470000467,0.9591655266757866,0.9506703146374829,0.0023803009575924516,0.9230769230769231,False
tree_cancer,ags_no_early_stop,2,60,273,1.3220159610000337,0.9600820793433653,0.9530506155950753,0.0,0.8951048951048951,True
tree_cancer,ags_no_early_stop,3,60,276,1.3472559250000131,0.9389876880984952,0.9506976744186046,0.0023529411764706687,0.9300699300699301,False
tree_cancer,ags_no_early_stop,4,60,272,1.464899240999955,0.9590971272229822,0.9506976744186046,0.0023529411764706687,0.9300699300699301,False
tree_cancer,ags_no_early_stop,5,60,261,1.3727568360000078,0.9365800273597811,0.9459917920656634,0.007058823529411895,0.916083916083916,False
